ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	TERM
GO:0000148	1,3-beta-D-glucan synthase complex	9/3539	15/22188	0.6	3.76174060469059	4.66098907295634	0.000131688856859785	0.00772574626910738	0.00740461028483527	142608236/142615324/142615325/142620751/142631785/142640309/142640609/142640975/142641534	9	1,3-beta-D-glucan synthase complex
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	31/3539	70/22188	0.442857142857143	2.77652282727163	6.48498064096949	1.90784916513515e-08	1.97811009378029e-06	1.89588601990605e-06	142605885/142610004/142610366/142612406/142613204/142616576/142619963/142623832/142625782/142626009/142627130/142627623/142629512/142630941/142631743/142631906/142632307/142638167/142639745/142641039/142642168/142642470/142643052/142643054/142643055/142643056/142643057/142643059/142643464/142644643/142644682	31	RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0003843	1,3-beta-D-glucan synthase activity	9/3539	15/22188	0.6	3.76174060469059	4.66098907295634	0.000131688856859785	0.00772574626910738	0.00740461028483527	142608236/142615324/142615325/142620751/142631785/142640309/142640609/142640975/142641534	9	1,3-beta-D-glucan synthase activity
GO:0005811	lipid droplet	17/3539	26/22188	0.653846153846154	4.09933271023975	6.88830228017269	1.96687083188381e-08	1.97811009378029e-06	1.89588601990605e-06	142629803/142633697/142633724/142633729/142633913/142633979/142633993/142635983/142636296/142636297/142636334/142636335/142636408/142636475/142642755/142643471/142644645	17	lipid droplet
GO:0006075	(1->3)-beta-D-glucan biosynthetic process	9/3539	15/22188	0.6	3.76174060469059	4.66098907295634	0.000131688856859785	0.00772574626910738	0.00740461028483527	142608236/142615324/142615325/142620751/142631785/142640309/142640609/142640975/142641534	9	(1->3)-beta-D-glucan biosynthetic process
GO:0006265	DNA topological change	7/3539	11/22188	0.636363636363636	3.98972488376275	4.32053939082135	0.000474367172290454	0.02087215558078	0.020004562989354	142611051/142613958/142624433/142628740/142628763/142630361/142636326	7	DNA topological change
GO:0006811	monoatomic ion transport	13/3539	33/22188	0.393939393939394	2.46982968994837	3.68086514831209	0.00102866391023975	0.0402321884893769	0.0385598576879345	142615800/142615801/142619057/142623145/142631761/142635973/142638373/142642003/142642164/142642720/142642926/142643744/142643902	13	monoatomic ion transport
GO:0006952	defense response	91/3539	324/22188	0.280864197530864	1.76089709375948	6.01028989119061	1.88541686074773e-08	1.97811009378029e-06	1.89588601990605e-06	142606468/142608367/142608706/142609775/142609835/142610150/142610153/142610273/142610502/142610586/142610610/142612020/142613020/142614546/142614709/142618498/142618512/142618892/142618895/142619060/142619062/142619071/142619141/142619174/142619496/142619505/142619537/142619625/142619626/142619630/142619770/142619955/142620062/142620674/142620888/142620952/142622777/142623542/142624049/142624584/142624586/142624587/142624591/142624592/142624689/142624875/142626137/142626399/142626729/142626849/142627096/142627098/142627315/142627398/142627734/142627775/142628296/142628298/142628312/142629147/142629181/142629491/142629674/142630402/142630890/142631210/142631359/142631395/142631436/142631460/142632241/142633046/142633047/142633049/142633270/142633607/142634343/142634500/142635866/142636212/142636257/142636517/142638881/142639170/142640584/142642243/142642541/142642553/142643044/142643376/142644698	91	defense response
GO:0007165	signal transduction	79/3539	292/22188	0.270547945205479	1.69621865165843	5.21694773538862	8.3102182167744e-07	7.31299203076147e-05	7.00901299598999e-05	142608367/142609775/142609835/142610150/142610153/142610273/142610502/142610586/142610610/142610852/142616146/142618265/142618512/142618892/142618895/142619060/142619062/142619071/142619156/142619537/142619625/142619626/142619630/142619770/142619955/142620062/142620674/142620888/142622777/142624584/142624586/142624587/142624591/142624592/142624689/142624875/142626399/142626729/142626849/142627096/142627098/142627315/142627351/142627398/142627775/142628312/142629181/142629491/142629674/142630402/142631210/142631359/142631395/142631436/142631460/142633046/142633047/142633049/142633270/142633645/142634343/142634500/142635866/142636212/142636257/142636517/142638642/142639170/142640584/142640600/142641370/142641382/142642243/142642541/142642553/142643044/142643296/142643376/142644698	79	signal transduction
GO:0008610	lipid biosynthetic process	14/3539	23/22188	0.608695652173913	3.81625858446872	5.88659798262717	1.30601403196624e-06	0.000102159319833804	9.79128648526736e-05	142611240/142612680/142613164/142613923/142614818/142615292/142617349/142621036/142623757/142623758/142624131/142639992/142643820/142644667	14	lipid biosynthetic process
GO:0008643	carbohydrate transport	16/3539	41/22188	0.390243902439024	2.44666055589632	4.03889826894742	0.000317209462184685	0.0148876974252012	0.0142688607200269	142617237/142617634/142618993/142620030/142623777/142627123/142627206/142627208/142627212/142627217/142628429/142628430/142628513/142628514/142629401/142632927	16	carbohydrate transport
GO:0015074	DNA integration	151/3539	262/22188	0.576335877862595	3.61337678949287	18.536800201655	4.55407832780304e-54	3.20607114277334e-51	3.07280442960184e-51	142605747/142605782/142605787/142605810/142605812/142605815/142605913/142605914/142605918/142605922/142605958/142605973/142605996/142606063/142606102/142606254/142606314/142606328/142606348/142606439/142608836/142609014/142609103/142611956/142611968/142612042/142612043/142612069/142612169/142612283/142612316/142612387/142612412/142615907/142616071/142616176/142616310/142616319/142616323/142616349/142616393/142616500/142616505/142616556/142616562/142616841/142617518/142619188/142620093/142620162/142620260/142620323/142620328/142620337/142620433/142620456/142620479/142620512/142620525/142620564/142620585/142620614/142620616/142620843/142622328/142623162/142623556/142624985/142625099/142625117/142625158/142625195/142625255/142625263/142625456/142625478/142625604/142625612/142626604/142626890/142627213/142627855/142628116/142628362/142628594/142628704/142628705/142628735/142628767/142628827/142628922/142628926/142628972/142629051/142629580/142629669/142629993/142630793/142630812/142631420/142631758/142632355/142632506/142632576/142632652/142632673/142632734/142632739/142632750/142632757/142632783/142632826/142633123/142634574/142634639/142634750/142634862/142634989/142635053/142635086/142635097/142635102/142635107/142635137/142635147/142635155/142635161/142635255/142635342/142635366/142635980/142637124/142637307/142639328/142639506/142639535/142639558/142639625/142639627/142639707/142639747/142639768/142640066/142640107/142640110/142640196/142644061/142644264/142644335/142644403/142644408	151	DNA integration
GO:0015297	antiporter activity	29/3539	100/22188	0.29	1.81817462560045	3.57214934888693	0.000710241131104562	0.0294123386057419	0.0281897563491037	142606861/142607898/142608041/142608353/142608421/142609398/142609458/142609684/142609829/142610298/142610387/142610388/142610698/142610855/142610963/142611407/142617480/142622274/142622544/142625464/142626356/142627063/142629864/142632298/142632666/142636397/142637891/142640017/142643838	29	antiporter activity
GO:0016104	triterpenoid biosynthetic process	16/3539	22/22188	0.727272727272727	4.55968558144314	7.27681131474008	4.82150967010756e-09	8.4858570193893e-07	8.13312552247091e-07	142633697/142633724/142633729/142633913/142633979/142633993/142635983/142636296/142636297/142636334/142636335/142636408/142636475/142642755/142643471/142644645	16	triterpenoid biosynthetic process
GO:0016405	CoA-ligase activity	11/3539	22/22188	0.5	3.13478383724216	4.3639863201261	0.000211448354709284	0.0106328315510954	0.0101908567946354	142606312/142607214/142608656/142609470/142609484/142609819/142611381/142627382/142632119/142639014/142640084	11	CoA-ligase activity
GO:0042300	beta-amyrin synthase activity	13/3539	14/22188	0.928571428571429	5.82174141202115	7.86154148297361	5.06525128183937e-10	1.54648600209639e-07	1.48220324064561e-07	142633697/142633724/142633729/142633913/142633979/142633993/142635983/142636296/142636297/142636334/142636335/142636408/142636475	13	beta-amyrin synthase activity
GO:0045944	positive regulation of transcription by RNA polymerase II	37/3539	83/22188	0.44578313253012	2.7948675175412	7.13654458111559	6.59013921347892e-10	1.54648600209639e-07	1.48220324064561e-07	142605885/142607233/142608201/142610004/142610366/142612406/142613204/142613245/142616576/142619963/142621525/142623832/142625782/142626009/142627130/142627381/142627623/142628876/142629512/142630941/142631743/142631906/142632307/142639745/142641039/142641852/142642168/142642470/142643052/142643054/142643055/142643056/142643057/142643059/142643464/142644643/142644682	37	positive regulation of transcription by RNA polymerase II
GO:0051119	sugar transmembrane transporter activity	16/3539	39/22188	0.41025641025641	2.57213032799357	4.28060925603271	0.000159517838238111	0.00863850447074077	0.00827942787940317	142617237/142617634/142618993/142620030/142623777/142627123/142627206/142627208/142627212/142627217/142628429/142628430/142628513/142628514/142629401/142632927	16	sugar transmembrane transporter activity
