seqnames	in_sv	n_windows	median_repeat	mean_repeat
NC_134017.1	FALSE	158	62.0779	63.5616896787011
NC_134017.1	TRUE	6	62.7767	62.9453333333333
NC_134019.1	FALSE	94	57.4637	58.9116055809855
NC_134019.1	TRUE	2	56.4986	56.4986
NC_134020.1	FALSE	112	62.7299	67.2333121776155
NC_134020.1	TRUE	1	85.7928	85.7928
